GroupCode,StartStage,MigID,StartTofY,EndTofY,Leave_Period,Return_Period,isAnnualMigration,MinTimeAway,MaxTimeAway,MigrateStockReturn,MigPropSizeInc,MigPropSurvive
ZL,0,0,319,91,15,15,1,0,0,0,0,0.85
jCEP,0,0,0,91,1,1,1,0,0,0,0,1
CEP,0,0,335,74,30,30,1,0,0,0,0,0
jPWN,0,0,305,91,3,3,1,0,0,0,0,1
PWN,0,0,305,91,15,15,1,0,0,0,0,1
FPS,0,0,277,319,3,3,1,0,0,0,0,1
FPS,1,0,288,105,30,30,1,0,0,0,0,1
FPL,0,0,46,196,30,30,1,0,0,0,0,1
FPL,1,0,46,258,30,30,1,0,0,0,0,1
FVD,0,0,319,15,3,3,1,0,0,0,0,1
FVD,1,0,319,105,30,30,1,0,0,0,0,1
FVV,0,0,288,74,3,3,1,0,0,0,0,1
FVV,1,0,288,74,15,15,1,0,0,0,0,1
FVS,0,0,319,105,3,3,1,0,0,0,0,1
FVS,1,0,319,105,30,30,1,0,0,0,0,1
FVT,0,0,319,288,1,1,1,0,0,0,0,1
FVT,1,0,196,105,30,30,1,0,0,0,0,1
FVO,0,0,46,166,3,3,1,0,0,0,0,1
FVO,1,0,46,166,30,30,1,0,0,0,0,1
FMM,0,0,46,288,2,2,1,0,0,0,0,1
FMM,1,0,94,46,30,30,1,0,0,0,0,1
FMN,0,0,319,196,1,1,1,0,0,0,0,1
FMN,1,0,319,105,30,30,1,0,0,0,0,1
FBP,0,0,319,74,3,3,1,0,0,0,0,1
FBP,1,0,319,74,60,60,1,0,0,0,0,1
FDD,0,0,288,105,3,3,1,0,0,0,0,1
FDD,1,0,288,105,30,30,1,0,0,0,0,1
FDS,0,0,74,105,3,3,1,0,0,0,0,1
FDS,1,0,74,105,30,30,1,0,0,0,0,1
FDO,0,0,319,105,3,3,1,0,0,0,0,1
FDO,1,0,319,105,30,30,1,0,0,0,0,1
SHD,0,0,288,135,1,1,1,0,0,0,0,1
SHD,1,0,288,135,30,30,1,0,0,0,0,1
SHC,0,0,105,319,1,1,1,0,0,0,0,1
SHC,1,0,105,319,30,30,1,0,0,0,0,1
SHB,0,0,166,319,3,3,1,0,0,0,0,1
SHB,1,0,166,319,1,1,1,0,0,0,0,1
SSK,0,0,288,135,3,3,1,0,0,0,0,1
SSK,1,0,288,135,30,30,1,0,0,0,0,1
SB,0,0,0,364,1,1,1,0,0,0,0,1
SB,1,0,46,319,30,30,1,0,0,0,0,1
SP,0,0,15,105,1,1,1,0,0,0,0,1
SP,1,0,15,105,30,30,1,0,0,0,0,1
REP,0,0,319,135,30,30,1,0,0,0,0,1
REP,1,0,319,135,30,30,1,0,0,0,0,1
WHS,0,0,258,105,1,1,1,0,0,0,0,1
WHS,1,0,258,105,30,30,1,0,0,0,0,0.9
