year,doxx,temp,chla,flow,po4x,nh4x,no3x,totn,totp,orgp,orgn,pipx,tocx,tssx,sand,silt,clay,phyt
1991, 0.110E+02, 0.101E+02, 0.671E+01, 0.614E+06, 0.119E+07, 0.541E+07, 0.488E+08, 0.834E+08, 0.449E+07, 0.220E+07, 0.291E+08, 0.111E+07, 0.315E+09, 0.153E+10, 0.876E+07, 0.322E+09, 0.115E+10, 0.509E+08
1992, 0.102E+02, 0.121E+02, 0.717E+01, 0.673E+06, 0.134E+07, 0.632E+07, 0.590E+08, 0.994E+08, 0.621E+07, 0.240E+07, 0.341E+08, 0.247E+07, 0.388E+09, 0.311E+10, 0.113E+08, 0.979E+09, 0.206E+10, 0.596E+08
1993, 0.106E+02, 0.974E+01, 0.624E+01, 0.106E+07, 0.294E+07, 0.103E+08, 0.854E+08, 0.160E+09, 0.122E+08, 0.350E+07, 0.639E+08, 0.574E+07, 0.753E+09, 0.816E+10, 0.168E+08, 0.231E+10, 0.574E+10, 0.815E+08
1994, 0.106E+02, 0.113E+02, 0.663E+01, 0.110E+07, 0.250E+07, 0.837E+07, 0.786E+08, 0.144E+09, 0.909E+07, 0.347E+07, 0.570E+08, 0.312E+07, 0.654E+09, 0.506E+10, 0.163E+08, 0.132E+10, 0.363E+10, 0.899E+08
1995, 0.105E+02, 0.109E+02, 0.694E+01, 0.644E+06, 0.151E+07, 0.570E+07, 0.545E+08, 0.930E+08, 0.562E+07, 0.212E+07, 0.328E+08, 0.200E+07, 0.382E+09, 0.236E+10, 0.152E+08, 0.512E+09, 0.178E+10, 0.552E+08
1996, 0.105E+02, 0.112E+02, 0.643E+01, 0.145E+07, 0.397E+07, 0.111E+08, 0.104E+09, 0.193E+09, 0.154E+08, 0.421E+07, 0.777E+08, 0.724E+07, 0.920E+09, 0.104E+11, 0.242E+08, 0.309E+10, 0.720E+10, 0.115E+09
1997, 0.107E+02, 0.104E+02, 0.628E+01, 0.743E+06, 0.148E+07, 0.580E+07, 0.553E+08, 0.948E+08, 0.519E+07, 0.240E+07, 0.337E+08, 0.131E+07, 0.366E+09, 0.166E+10, 0.674E+07, 0.363E+09, 0.123E+10, 0.576E+08
1998, 0.106E+02, 0.110E+02, 0.770E+01, 0.101E+07, 0.283E+07, 0.804E+07, 0.789E+08, 0.141E+09, 0.103E+08, 0.336E+07, 0.541E+08, 0.413E+07, 0.619E+09, 0.498E+10, 0.135E+08, 0.110E+10, 0.377E+10, 0.957E+08
1999, 0.103E+02, 0.112E+02, 0.508E+01, 0.692E+06, 0.161E+07, 0.614E+07, 0.633E+08, 0.109E+09, 0.615E+07, 0.225E+07, 0.398E+08, 0.230E+07, 0.475E+09, 0.298E+10, 0.307E+08, 0.892E+09, 0.202E+10, 0.434E+08
2000, 0.989E+01, 0.131E+02, 0.798E+01, 0.734E+06, 0.168E+07, 0.609E+07, 0.573E+08, 0.101E+09, 0.592E+07, 0.256E+07, 0.372E+08, 0.169E+07, 0.408E+09, 0.238E+10, 0.148E+08, 0.562E+09, 0.173E+10, 0.724E+08
