year,flow,doxx,bodx,nh4x,no3x,orgn,orgp,po4x,totn,totp,tssx
1991, 0.197E+05, 0.116E+08, 0.154E+08, 0.131E+08, 0.108E+08, 0.378E+07, 0.469E+06, 0.106E+07, 0.277E+08, 0.153E+07, 0.314E+08
1992, 0.200E+05, 0.127E+08, 0.158E+08, 0.128E+08, 0.114E+08, 0.351E+07, 0.444E+06, 0.906E+06, 0.276E+08, 0.135E+07, 0.300E+08
1993, 0.211E+05, 0.132E+08, 0.181E+08, 0.127E+08, 0.109E+08, 0.376E+07, 0.427E+06, 0.807E+06, 0.274E+08, 0.123E+07, 0.329E+08
1994, 0.212E+05, 0.135E+08, 0.176E+08, 0.134E+08, 0.961E+07, 0.382E+07, 0.471E+06, 0.847E+06, 0.268E+08, 0.132E+07, 0.341E+08
1995, 0.201E+05, 0.136E+08, 0.163E+08, 0.117E+08, 0.105E+08, 0.341E+07, 0.400E+06, 0.814E+06, 0.256E+08, 0.121E+07, 0.314E+08
1996, 0.222E+05, 0.141E+08, 0.182E+08, 0.118E+08, 0.939E+07, 0.389E+07, 0.439E+06, 0.784E+06, 0.251E+08, 0.122E+07, 0.365E+08
1997, 0.208E+05, 0.128E+08, 0.156E+08, 0.102E+08, 0.852E+07, 0.358E+07, 0.352E+06, 0.726E+06, 0.223E+08, 0.108E+07, 0.309E+08
1998, 0.212E+05, 0.124E+08, 0.150E+08, 0.620E+07, 0.117E+08, 0.307E+07, 0.313E+06, 0.696E+06, 0.210E+08, 0.101E+07, 0.307E+08
1999, 0.204E+05, 0.108E+08, 0.105E+08, 0.587E+07, 0.124E+08, 0.309E+07, 0.332E+06, 0.704E+06, 0.214E+08, 0.104E+07, 0.213E+08
2000, 0.208E+05, 0.114E+08, 0.946E+07, 0.621E+07, 0.110E+08, 0.294E+07, 0.347E+06, 0.701E+06, 0.202E+08, 0.105E+07, 0.180E+08
